,week,zipcode,date,Longitude,Latitude,State,City,Zip,data_avail
35,541,98115,5/12/21 12:00 AM,-122.30122,47.68382,WA,Seattle,98115,1
79,542,98199,5/20/21 12:00 AM,-122.39758,47.64767,WA,Seattle,98199,1
355,541,98391,5/21/21 12:00 AM,-122.2,47.2,WA,Bonney Lake,98391,1
165,543,98166,5/24/21 12:00 AM,-122.34943,47.458821,WA,Seattle,98166,1
399,543,98059,5/25/21 12:00 AM,-122.14169,47.493031,WA,Renton,98059,1
112,543,98122,5/28/21 12:00 AM,-122.30406,47.61157,WA,Seattle,98122,1
268,544,98102,6/2/21 12:00 AM,-122.32253,47.63287,WA,Seattle,98102,1
396,543,98407,6/2/21 12:00 AM,-122.50433,47.28392,WA,Tacoma,98407,1
397,543,98503,6/3/21 12:00 AM,-122.80359,47.027082,WA,Lacey,98503,1
398,543,98059,6/4/21 12:00 AM,-122.14169,47.493031,WA,Renton,98059,1
335,545,99203,6/8/21 12:00 AM,-117.40636,47.629091,WA,Spokane,99203,1
95,545,98683,6/16/21 12:00 AM,-122.51035,45.604075,WA,Vancouver,98683,1
369,548,98204,7/5/21 12:00 AM,-122.25064,47.90296,WA,Everett,98204,1
403,548,98039,7/5/21 12:00 AM,-122.2328,47.626571,WA,Medina,98039,1
180,548,98661,7/6/21 12:00 AM,-122.62846,45.63873,WA,Vancouver,98661,1
216,548,98155,7/6/21 12:00 AM,-122.30373,47.753019,WA,Seattle,98155,1
265,551,98444,7/28/21 12:00 AM,-122.4485,47.153571,WA,Tacoma,98444,1
404,552,98087,8/6/21 12:00 AM,-122.26,47.87,WA,Lynnwood,98087,1
61,554,99223,8/8/21 12:00 AM,-117.35892,47.614744,WA,Spokane,99223,1
124,554,98012,8/9/21 12:00 AM,-122.20457,47.84311,WA,Bothell,98012,1
73,555,98104,8/15/21 12:00 AM,-122.32855,47.60252,WA,Seattle,98104,1
365,554,98004,8/15/21 12:00 AM,-122.20308,47.618371,WA,Bellevue,98004,1
130,556,98031,8/23/21 12:00 AM,-122.19644,47.388461,WA,Kent,98031,1
316,558,98371,9/10/21 12:00 AM,-122.31577,47.196272,WA,Puyallup,98371,1
370,559,98204,9/21/21 12:00 AM,-122.25064,47.90296,WA,Everett,98204,1
342,561,98144,9/30/21 12:00 AM,-122.30081,47.58577,WA,Seattle,98144,1
382,561,98178,10/6/21 12:00 AM,-122.24664,47.497971,WA,Seattle,98178,1
217,562,98155,10/7/21 12:00 AM,-122.30373,47.753019,WA,Seattle,98155,1
170,562,98053,10/8/21 12:00 AM,-122.03318,47.640972,WA,Redmond,98053,1
405,563,98422,10/11/21 12:00 AM,-122.39835,47.296007,WA,Tacoma,98422,1
