Longitude,Latitude,State,City,Zip
-122.54535,47.553289,WA,Manchester,98353
-122.62193,45.8768,WA,La Center,98629
-117.94318,48.305861,WA,Addy,99101
-117.4959,47.563191,WA,Marshall,99020
-122.8388,47.374343,WA,Allyn,98524
-119.03268,47.290624,WA,Marlin,98832
-117.431742,47.653568,WA,Spokane,99260
-117.06934,47.751434,WA,Newman Lake,99025
-121.803388,47.432251,WA,Seattle,98191
-123.91732,47.026913,WA,Hoquiam,98550
-122.29411,46.06517,WA,Cougar,98616
-119.73538,48.267188,WA,Malott,98829
-124.14241,47.179475,WA,Copalis Crossing,98536
-122.63256,48.931679,WA,Custer,98240
-122.45624,46.001752,WA,Ariel,98603
-122.05255,47.155649,WA,Buckley,98321
-119.00713,47.947097,WA,Grand Coulee,99133
-120.25742,47.436898,WA,East Wenatchee,98802
-122.315,47.397521,WA,Seattle,98198
-117.22306,47.81108,WA,Mead,99021
-122.702393,46.978118,WA,Olympia,98504
-118.38258,47.460312,WA,Harrington,99134
-118.49343,47.757764,WA,Creston,99117
-120.09871,46.364164,WA,Outlook,98938
-121.85094,46.525156,WA,Randle,98377
-119.57129,47.297368,WA,Ephrata,98823
-122.69584,47.16438,WA,Anderson Island,98303
-119.911288,46.68039,WA,Desert Aire,99319
-122.68473,45.709555,WA,Vancouver,98685
-122.444335,47.253671,WA,Tacoma,98401
-122.40089,47.962134,WA,Clinton,98236
-122.68794,48.058323,WA,Nordland,98358
-121.803388,47.432251,WA,Bellevue,98009
-118.67264,46.059286,WA,Touchet,99360
-123.30578,46.569107,WA,Pe Ell,98572
-117.37449,47.432691,WA,Spangle,99031
-121.76849,47.870275,WA,Startup,98293
-122.79718,46.015873,WA,Kalama,98625
-119.4624,47.400024,WA,Soap Lake,98851
-122.113223,47.066193,WA,Longmire,98397
-122.24664,47.497971,WA,Seattle,98178
-122.91972,48.672312,WA,Eastsound,98245
-123.07403,47.33179,WA,Union,98592
-117.85558,47.197445,WA,Lamont,99017
-117.431742,47.653568,WA,Spokane,99215
-122.78309,47.336226,WA,Vaughn,98394
-119.98921,47.79955,WA,Chelan Falls,98817
-123.228797,46.843337,WA,Oakville,98468
-122.46821,47.416198,WA,Vashon,98070
-118.51457,48.977629,WA,Danville,99121
-118.399551,47.60894,WA,Lincoln,99147
-122.28112,45.594465,WA,Washougal,98671
-122.20146,48.971298,WA,Sumas,98295
-122.435478,48.725417,WA,Bellingham,98229
-121.61674,46.580048,WA,Packwood,98361
-117.644337,46.838747,WA,Pullman,99165
-117.91313,46.792982,WA,Lacrosse,99143
-122.32855,47.60252,WA,Seattle,98104
-119.35457,46.297139,WA,West Richland,99353
-122.61976,48.495234,WA,Anacortes,98221
-123.05308,46.373347,WA,Ryderwood,98581
-117.431742,47.653568,WA,Spokane,99214
-120.02966,46.177732,WA,Mabton,98935
-120.95503,47.186592,WA,South Cle Elum,98943
-117.19993,47.643346,WA,Veradale,99037
-123.09916,48.079979,WA,Sequim,98382
-122.1155,47.609222,WA,Bellevue,98008
-120.7144,46.377579,WA,White Swan,98952
-117.472694,47.951939,WA,Deer Park,99066
-122.02921,47.522828,WA,Issaquah,98027
-121.803388,47.432251,WA,Bothell,98082
-123.81923,46.972965,WA,Aberdeen,98520
-120.71558,46.662006,WA,Cowiche,98923
-119.39066,48.403174,WA,Omak,98841
-121.50689,47.84138,WA,Index,98256
-122.81372,48.63205,WA,Olga,98279
-122.34943,47.458821,WA,Seattle,98166
-121.803388,47.432251,WA,Bothell,98041
-122.48754,46.954282,WA,Roy,98580
-122.702393,46.978118,WA,Lacey,98509
-118.59088,48.810879,WA,Malo,99150
-122.57489,47.910628,WA,Hansville,98340
-122.37468,47.66747,WA,Seattle,98107
-122.66723,48.204162,WA,Coupeville,98239
-122.59122,47.854503,WA,Port Gamble,98364
-122.33651,47.821568,WA,Edmonds,98026
-122.31864,47.147862,WA,Puyallup,98373
-123.05047,48.99201,WA,Point Roberts,98281
-121.803388,47.432251,WA,Seattle,98130
-118.15325,46.138753,WA,Dixie,99329
-122.113223,47.066193,WA,Tacoma,98494
-122.1588,48.061269,WA,Marysville,98270
-122.52818,47.247735,WA,Tacoma,98465
-122.33441,47.57867,WA,Seattle,98134
-121.803388,47.432251,WA,Seattle,98060
-122.88271,48.481655,WA,Lopez Island,98261
-117.10575,46.905132,WA,Palouse,99161
-122.31737,47.248208,WA,Milton,98354
-117.282483,47.656726,WA,Spokane,99213
-122.64326,47.088719,WA,Dupont,98327
-122.222642,46.989916,WA,Kapowsin,98344
-121.487682,45.807631,WA,Husum,98623
-121.82242,48.070852,WA,Granite Falls,98252
-117.431742,47.653568,WA,Spokane,99211
-117.12007,47.703698,WA,Otis Orchards,99027
-122.729304,47.687971,WA,Burley,98322
-122.85233,47.826111,WA,Quilcene,98376
-122.60011,47.364321,WA,Gig Harbor,98332
-120.52364,47.009726,WA,Ellensburg,98926
-122.26608,47.303722,WA,Auburn,98001
-122.43726,45.935656,WA,Amboy,98601
-122.655862,48.310127,WA,Oak Harbor,98278
-122.39221,45.843674,WA,Yacolt,98675
-117.99082,47.273264,WA,Sprague,99032
-118.15884,46.209202,WA,Waitsburg,99361
-117.18352,47.554592,WA,Mica,99023
-120.25547,45.963054,WA,Bickleton,99322
-122.51035,45.604075,WA,Vancouver,98683
-124.05517,46.332077,WA,Seaview,98644
-122.864838,46.071482,WA,Carrolls,98609
-123.46828,46.296658,WA,Skamokawa,98647
-122.663954,45.678557,WA,Hazel Dell North,98655
-123.34624,46.208318,WA,Cathlamet,98612
-122.113223,47.066193,WA,Tacoma,98481
-118.09326,48.290089,WA,Gifford,99131
-124.37144,48.283826,WA,Sekiu,98381
-122.02065,47.572401,WA,Issaquah,98029
-122.35443,47.53282,WA,Seattle,98106
-121.682271,48.037258,WA,Everett,98207
-117.08202,46.516794,WA,Uniontown,99179
-122.01544,46.75523,WA,Ashford,98304
-121.286091,45.694098,WA,Lyle,98653
-121.47838,45.719294,WA,Bingen,98605
-120.61762,46.605303,WA,Yakima,98908
-117.431742,47.653568,WA,Spokane,99251
-121.803388,47.432251,WA,Auburn,98071
-117.244981,47.329704,WA,Waverly,99039
-120.48966,47.522546,WA,Cashmere,98815
-117.431742,47.653568,WA,Freeman,99015
-117.38829,47.693741,WA,Spokane,99207
-123.25649,46.84066,WA,Oakville,98568
-119.28137,46.279657,WA,Richland,99352
-122.113223,47.066193,WA,Tacoma,98447
-121.91147,45.801513,WA,Carson,98610
-123.67708,46.668744,WA,Raymond,98577
-119.10456,46.169982,WA,Kennewick,99337
-117.82325,47.889348,WA,Ford,99013
-120.56997,46.726395,WA,Selah,98942
-120.315141,46.421218,WA,Buena,98921
-122.50476,48.393063,WA,La Conner,98257
-122.26012,47.140045,WA,Puyallup,98374
-124.15607,46.983877,WA,Ocean Shores,98569
-117.4092,46.875136,WA,Colfax,99111
-122.50844,47.16632,WA,Lakewood,98499
-122.33523,47.604718,WA,Seattle,98174
