zip,primary_city,acceptable_cities,state,county,latitude,longitude,irs_estimated_population
98195,Seattle,,WA,King County,47.65,-122.31,192
98198,Seattle,"Des Moines, Normandy Park, Seatac",WA,King County,47.38,-122.31,34610
98199,Seattle,,WA,King County,47.65,-122.4,20960
98201,Everett,,WA,Snohomish County,47.98,-122.2,23720
98203,Everett,,WA,Snohomish County,47.94,-122.24,33000
98204,Everett,,WA,Snohomish County,47.89,-122.25,37360
98205,Everett,,WA,Snohomish County,47.99,-122.15,14630
98206,Everett,,WA,Snohomish County,47.92,-122.22,1935
98207,Everett,,WA,Snohomish County,47.99,-122.22,99
98208,Everett,,WA,Snohomish County,47.9,-122.18,55520
98213,Everett,,WA,Snohomish County,47.97,-122.2,1020
98220,Acme,,WA,Whatcom County,48.7,-122.19,600
98221,Anacortes,"Decatur Is, Decatur Island",WA,Skagit County,48.46,-122.6,21810
98222,Blakely Island,"Anacortes, Blakely Is",WA,San Juan County,48.56,-122.8,20
98223,Arlington,,WA,Snohomish County,48.18,-121.67,41760
98224,Baring,,WA,King County,47.73,-121.49,163
98225,Bellingham,,WA,Whatcom County,48.73,-122.48,32250
98226,Bellingham,,WA,Whatcom County,48.79,-122.41,41000
98227,Bellingham,,WA,Whatcom County,48.8,-122.4,2107
98228,Bellingham,,WA,Whatcom County,48.74,-122.46,1966
98229,Bellingham,,WA,Whatcom County,48.68,-122.41,28940
98230,Blaine,,WA,Whatcom County,48.93,-122.72,16950
98231,Blaine,,WA,Whatcom County,48.99,-122.74,1547
98232,Bow,,WA,Skagit County,48.56,-122.44,3860
98233,Burlington,,WA,Skagit County,48.53,-122.31,15240
98235,Clearlake,,WA,Skagit County,48.46,-122.23,616
98236,Clinton,,WA,Island County,47.95,-122.41,5540
98237,Concrete,,WA,Skagit County,48.56,-121.77,3390
98238,Conway,,WA,Skagit County,48.34,-122.34,358
98239,Coupeville,,WA,Island County,48.18,-122.66,6840
98240,Custer,,WA,Whatcom County,48.94,-122.62,3060
98241,Darrington,,WA,Snohomish County,48.19,-121.21,2090
98243,Deer Harbor,,WA,San Juan County,48.62,-123.01,380
98244,Deming,,WA,Whatcom County,48.8,-122.06,2510
98245,Eastsound,,WA,San Juan County,48.62,-122.87,3780
98247,Everson,,WA,Whatcom County,48.9,-122.3,8520
98248,Ferndale,,WA,Whatcom County,48.86,-122.63,25450
98249,Freeland,,WA,Island County,48.01,-122.54,5210
98250,Friday Harbor,Roche Harbor,WA,San Juan County,48.53,-123.06,8070
98251,Gold Bar,,WA,Snohomish County,47.86,-121.66,4540
98252,Granite Falls,,WA,Snohomish County,48.05,-121.74,10070
98253,Greenbank,,WA,Island County,48.09,-122.57,1740
98255,Hamilton,,WA,Skagit County,48.52,-121.99,234
98256,Index,,WA,Snohomish County,47.84,-121.43,266
98257,La Conner,,WA,Skagit County,48.41,-122.53,4050
98258,Lake Stevens,,WA,Snohomish County,48.04,-122.05,49530
98259,North Lakewood,N Lakewood,WA,Snohomish County,48.16,-122.3,269
98260,Langley,,WA,Island County,48.04,-122.44,5380
98261,Lopez Island,,WA,San Juan County,48.49,-122.87,2370
98262,Lummi Island,,WA,Whatcom County,48.69,-122.66,790
98263,Lyman,,WA,Skagit County,48.52,-122.07,415
98264,Lynden,,WA,Whatcom County,48.95,-122.43,22260
98266,Maple Falls,,WA,Whatcom County,48.96,-122.12,3420
98267,Marblemount,,WA,Skagit County,48.44,-121.27,390
98270,Marysville,,WA,Snohomish County,48.05,-122.14,48870
98271,Marysville,"Quil Ceda Village, Quil Ceda Vlg, Tulalip",WA,Snohomish County,48.09,-122.24,28810
98272,Monroe,,WA,Snohomish County,47.87,-121.88,27650
98273,Mount Vernon,,WA,Skagit County,48.42,-122.42,29100
98274,Mount Vernon,,WA,Skagit County,48.36,-121.98,17190
98275,Mukilteo,,WA,Snohomish County,47.91,-122.3,21470
98276,Nooksack,Everson,WA,Whatcom County,48.93,-122.33,1420
98277,Oak Harbor,,WA,Island County,48.32,-122.63,37600
98278,Oak Harbor,"Nas Whidbey, Whidbey Island Naval Air",WA,Island County,48.34,-122.67,996
98279,Olga,,WA,San Juan County,48.63,-122.8,520
